,0,1,2,3,4,5,6,7
0,0.0,-0.242180177,-0.6021165039999999,-1.28379073,-1.40471464,-1.53216129,-1.42582786,-1.46786798
1,0.0,-0.20680544399999998,-0.516120595,-1.09876861,-1.21104461,-1.33630191,-1.16089524,-1.19176873
2,0.0,-0.17121841100000001,-0.42672397799999995,-0.9081930859999999,-1.02525101,-1.15348885,-0.946493164,-0.974475007
3,0.0,-0.132967308,-0.329793645,-0.7026513329999999,-0.7745850009999999,-0.8197301020000001,-0.759612938,-0.792543675
4,0.0,-0.07631870219999999,-0.19024533100000002,-0.404096286,-0.46737648600000004,-0.50582492,-0.440311987,-0.46990301100000004
5,0.0,-0.0754983567,-0.189568729,-0.40131071799999996,-0.46429096200000003,-0.504064382,-0.43728968700000004,-0.46637533600000003
6,0.0,-0.07771299150000001,-0.193814975,-0.411599337,-0.474987082,-0.512354978,-0.44943632200000005,-0.47629900799999997
7,0.0,-0.09605305759999999,-0.23860402,-0.50778813,-0.569951755,-0.613843147,-0.568136648,-0.5987460920000001
8,0.0,-0.110423039,-0.27615526100000004,-0.5862228629999999,-0.64134846,-0.68343496,-0.649985226,-0.679277137
9,0.0,-0.179448262,-0.44686344899999997,-0.9514426909999999,-1.01821645,-1.07476736,-1.09654148,-1.12733704
10,0.0,-0.18505932,-0.46016798200000003,-0.9802888740000001,-1.04590525,-1.08971736,-1.10817466,-1.1376316
11,0.0,-0.251566876,-0.628697606,-1.33919933,-1.44898707,-1.54996302,-1.45018979,-1.4784304
12,0.0,-0.297451693,-0.7411817209999999,-1.58093372,-1.6994235,-1.81633334,-1.73948441,-1.7704686
13,0.0,-0.315193548,-0.784944945,-1.67486164,-1.79735298,-1.92618161,-1.85050505,-1.88058878
14,0.0,-0.34706493200000005,-0.8718268570000001,-1.85967612,-2.02948092,-2.24183936,-2.05653199,-2.08513675
15,0.0,-0.40739427799999994,-1.01298647,-2.16427104,-2.33205739,-2.54293353,-2.43961341,-2.55081055
