0,1,2,3,4,5,6,7
0.894417151,-0.0,-0.0,-0.20736,-0.11874,-0.15528,-0.32256,-0.0864
0.777274745,-0.0,-0.0,-0.32256,-0.10542,-0.16764,-0.1152,-0.06336
0.640557918,-0.0,-0.0,-0.2592,-0.10764,-0.15642,-0.0576,-0.0576
0.487168213,-0.0,-0.0,-0.15552,-0.10806,-0.05538,-0.09792,-0.06912
0.28688378800000003,-0.0,-0.0,-0.0288,-0.10104,-0.04716,-0.04608,-0.06336
0.293661825,-0.0,-0.0,-0.0288,-0.10008,-0.04908,-0.05184,-0.06336
0.292783193,-0.0,-0.0,-0.0288,-0.10026,-0.048060000000000005,-0.0576,-0.0576
0.354840651,-0.0,-0.0,-0.03456,-0.08718,-0.05388,-0.1152,-0.06336
0.420757496,-0.0,-0.0,-0.09792,-0.0804,-0.051420000000000014,-0.12672,-0.06336
0.668666749,-0.0,-0.0,-0.0864,-0.0897,-0.06972,-0.35712,-0.06336
0.68500978,-0.0,-0.0,-0.15552,-0.09918,-0.053520000000000005,-0.31104,-0.06336
0.949336733,-0.0,-0.0,-0.3456,-0.12318,-0.12462,-0.29376,-0.0576
1.10703649,-0.0,-0.0,-0.38016,-0.12396,-0.14178,-0.39168,-0.06336
1.16972856,-0.0,-0.0,-0.36864,-0.11808,-0.16926,-0.44352,-0.06336
1.33113344,-0.0,-0.0,-0.35712,-0.129,-0.25368,-0.5241600000000001,-0.0576
1.49912028,-0.0,-0.0,-0.3168,-0.12054,-0.2553,-0.56448,-0.2304
1.67167167,-0.0,-0.0,-0.29952,-0.13518,-0.27114,-0.53568,-0.41472
1.72091067,-0.0,-0.0,-0.29952,-0.14982,-0.3114,-0.52992,-0.41472
1.55742638,-0.0,-0.0,-0.29952,-0.14862,-0.27288,-0.36864,-0.45504
1.47351651,-0.0,-0.0,-0.43776,-0.13134,-0.14442,-0.41472,-0.33408000000000004
1.40133322,-0.0,-0.0,-0.50688,-0.13632,-0.1545,-0.3456,-0.24768
1.44384825,-0.0,-0.0,-0.55296,-0.1332,-0.35514,-0.21888,-0.1728
1.13564227,-0.0,-0.0,-0.4608,-0.12594,-0.2715,-0.0864,-0.18432
0.949607042,-0.0,-0.0,-0.38592,-0.1143,-0.2202,-0.0864,-0.13824
0.974358208,-0.0,-0.0,-0.47808,-0.09828,-0.16272,-0.14976,-0.08064
0.585476608,-0.0,-0.0,-0.27072,-0.09666,-0.05508,-0.08064,-0.08064
0.609492109,-0.0,-0.0,-0.21888,-0.10806,-0.0561,-0.14976,-0.07488
0.450304813,-0.0,-0.0,-0.16128,-0.10524,-0.05604,-0.09216,-0.03456
0.456440196,-0.0,-0.0,-0.17856,-0.1071,-0.05454,-0.07488,-0.04032
0.379745617,-0.0,-0.0,-0.1152,-0.09018,-0.05268,-0.07488,-0.04608
0.363731684,-0.0,-0.0,-0.06912,-0.0861,-0.052320000000000005,-0.12095999999999997,-0.03456
0.363291596,-0.0,-0.0,-0.0576,-0.10308,-0.05208,-0.07488,-0.07488
0.312747808,-0.0,-0.0,-0.05184,-0.08567999999999999,-0.05952,-0.07488,-0.04032
0.44562722,-0.0,-0.0,-0.13824,-0.11106,-0.0513,-0.09792,-0.04608
0.6546946,-0.0,-0.0,-0.2592,-0.1293,-0.06252,-0.15552,-0.04608
1.01602116,-0.0,-0.0,-0.3456,-0.14376,-0.21618,-0.2592,-0.04608
1.08615858,-0.0,-0.0,-0.41472,-0.13242,-0.19332,-0.20736,-0.13248
1.30032861,-0.0,-0.0,-0.45504,-0.1365,-0.21642,-0.30528,-0.17856
1.24126432,-0.0,-0.0,-0.4608,-0.11796,-0.2283,-0.22464,-0.2016
1.27870012,-0.0,-0.0,-0.3744,-0.1119,-0.27138,-0.30528,-0.20736
1.28231902,-0.0,-0.0,-0.39168,-0.11868,-0.19314,-0.3456,-0.22464
1.37281394,-0.0,-0.0,-0.52992,-0.13055999999999998,-0.1785,-0.27648,-0.24768
1.57360874,-0.0,-0.0,-0.57024,-0.11904,-0.20376,-0.26496,-0.4032
1.39435919,-0.0,-0.0,-0.5414399999999999,-0.12456,-0.16566,-0.28224,-0.27072
1.16403205,-0.0,-0.0,-0.4896,-0.12186,-0.12546,-0.23616,-0.18432
0.974405807,-0.0,-0.0,-0.3744,-0.11742,-0.1323,-0.14400000000000002,-0.2016
1.09795683,-0.0,-0.0,-0.28224,-0.13086,-0.30972,-0.21888,-0.14976
0.78527617,-0.0,-0.0,-0.21888,-0.13032,-0.19662,-0.14400000000000002,-0.09216
0.61050786,-0.0,-0.0,-0.16128,-0.11844,-0.13878,-0.15552,-0.03456
0.516537558,-0.0,-0.0,-0.14400000000000002,-0.1248,-0.13116,-0.08064,-0.03456
0.504799007,-0.0,-0.0,-0.16128,-0.12546,-0.04974,-0.12672,-0.04032
0.389128221,-0.0,-0.0,-0.12672,-0.11556,-0.04818,-0.06912,-0.0288
0.332557419,-0.0,-0.0,-0.06336,-0.10818,-0.051,-0.06912,-0.04032
0.308371403,-0.0,-0.0,-0.04608,-0.10332,-0.04902,-0.07488,-0.03456
0.317994975,-0.0,-0.0,-0.03456,-0.09354,-0.033839999999999995,-0.12095999999999997,-0.03456
0.562870777,-0.0,-0.0,-0.04032,-0.32621999999999995,-0.05064,-0.06912,-0.07488
0.7379085329999999,-0.0,-0.0,-0.14400000000000002,-0.45648,-0.04242,-0.06912,-0.02304
0.6784343559999999,-0.0,-0.0,-0.16704000000000002,-0.37218,-0.03318,-0.08064,-0.02304
0.566868002,-0.0,-0.0,-0.22464,-0.12834,-0.03954,-0.14976,-0.02304
0.670987773,-0.0,-0.0,-0.30528,-0.11556,-0.03486,-0.19008,-0.02304
1.01312212,-0.0,-0.0,-0.33984000000000003,-0.1251,-0.25494,-0.26496,-0.02304
1.19782102,-0.0,-0.0,-0.33984000000000003,-0.11478,-0.38388,-0.30528,-0.04608
1.48320316,-0.0,-0.0,-0.35712,-0.13014,-0.4128600000000001,-0.3168,-0.25344
1.50543599,-0.0,-0.0,-0.48384,-0.1164,-0.39696,-0.26496,-0.2304
1.24892162,-0.0,-0.0,-0.33408000000000004,-0.13692,-0.33156,-0.30528,-0.13248
1.73376941,-0.0,-0.0,-0.4896,-0.15618,-0.42702,-0.38016,-0.26496
1.70785085,-0.0,-0.0,-0.47808,-0.4527600000000001,-0.23808,-0.31104,-0.21312
1.41679618,-0.0,-0.0,-0.3456,-0.43662,-0.17484,-0.26496,-0.18432
0.91246849,-0.0,-0.0,-0.23616,-0.1242,-0.12732000000000002,-0.24768,-0.1728
